seq,t1_us,enqueue_us,tx_start_us,tx_end_us,srv_recv_us,ack_recv_us,rtt_us
1,1768313514214753,1768313514214753,1768313514214754,1768313514214916,,,
2,1768313514339087,1768313514339088,1768313514339089,1768313514339270,,,
3,1768313514454973,1768313514454975,1768313514454977,1768313514455156,1768313514505657,1768313514505996,51019
4,1768313514516602,1768313514516604,1768313514516605,1768313514516795,,,
5,1768313514639982,1768313514639984,1768313514639985,1768313514640167,1768313514690539,1768313514690807,50822
6,1768313514701239,1768313514701240,1768313514701242,1768313514701420,,,
7,1768313514818823,1768313514818824,1768313514818826,1768313514819008,1768313514869605,1768313514869933,51107
8,1768313514880314,1768313514880315,1768313514880317,1768313514880506,1768313514931425,1768313514931741,51424
9,1768313514942242,1768313514942244,1768313514942245,1768313514942445,,,
10,1768313515056641,1768313515056642,1768313515056643,1768313515056833,,,
11,1768313515172447,1768313515172448,1768313515172449,1768313515172632,,,
12,1768313515288213,1768313515288214,1768313515288215,1768313515288404,1768313515338984,1768313515339270,51055
13,1768313515349891,1768313515349894,1768313515349897,1768313515350112,1768313515401037,1768313515401346,51449
14,1768313515411898,1768313515411900,1768313515411901,1768313515412079,,,
15,1768313515542934,1768313515542935,1768313515542936,1768313515543127,1768313515593853,1768313515594111,51175
16,1768313515604363,1768313515604364,1768313515604365,1768313515604484,1768313515654741,1768313515654925,50560
17,1768313515665187,1768313515665188,1768313515665189,1768313515665305,1768313515716038,1768313515716166,50977
18,1768313515726879,1768313515726879,1768313515726880,1768313515726964,1768313515777544,1768313515777851,50971
19,1768313515788343,1768313515788344,1768313515788345,1768313515788522,,,
20,1768313515905710,1768313515905711,1768313515905711,1768313515905778,1768313515956393,1768313515956679,50968
21,1768313515967698,1768313515967699,1768313515967700,1768313515967904,,,
22,1768313516080376,1768313516080377,1768313516080378,1768313516080571,,,
23,1768313516180988,1768313516180989,1768313516180990,1768313516181208,1768313516232026,1768313516232316,51326
24,1768313516232383,1768313516232385,1768313516232386,1768313516232519,1768313516283057,1768313516283335,50949
25,1768313516283403,1768313516283404,1768313516283405,1768313516283530,1768313516334457,1768313516334750,51345
26,1768313516334824,1768313516334826,1768313516334827,1768313516334970,1768313516385692,1768313516385997,51170
27,1768313516386070,1768313516386072,1768313516386073,1768313516386212,,,
28,1768313516497135,1768313516497137,1768313516497138,1768313516497323,1768313516548031,1768313516548221,51083
29,1768313516548264,1768313516548265,1768313516548265,1768313516548339,1768313516598912,1768313516599098,50833
30,1768313516599141,1768313516599142,1768313516599143,1768313516599222,1768313516649795,1768313516649906,50763
31,1768313516650114,1768313516650114,1768313516650115,1768313516650153,1768313516700838,1768313516700951,50836
32,1768313516711297,1768313516711298,1768313516711298,1768313516711375,1768313516761755,1768313516761891,50593
33,1768313516772012,1768313516772012,1768313516772013,1768313516772112,1768313516822278,1768313516822445,50432
34,1768313516832708,1768313516832708,1768313516832709,1768313516832802,1768313516883144,1768313516883310,50601
