seq,t1_us,enqueue_us,tx_start_us,tx_end_us,srv_recv_us,ack_recv_us,rtt_us
1,1767971338950731,1767971338950731,1767971338950732,1767971338950880,,,
2,1767971338956803,1767971338956803,1767971338956803,1767971338956855,,,
3,1767971338962443,1767971338962444,1767971338962445,1767971338962545,,,
4,1767971338968388,1767971338968388,1767971338968388,1767971338968461,,,
5,1767971338974399,1767971338974400,1767971338974400,1767971338974498,,,
6,1767971338979666,1767971338979667,1767971338979667,1767971338979751,,,
7,1767971338984950,1767971338984951,1767971338984951,1767971338985041,,,
8,1767971338990244,1767971338990245,1767971338990245,1767971338990388,,,
9,1767971338996358,1767971338996359,1767971338996359,1767971338996466,,,
10,1767971339002419,1767971339002420,1767971339002420,1767971339002467,,,
11,1767971339008372,1767971339008373,1767971339008373,1767971339008453,,,
12,1767971339013588,1767971339013589,1767971339013590,1767971339013644,,,
13,1767971339019276,1767971339019277,1767971339019277,1767971339019331,,,
14,1767971339024628,1767971339024629,1767971339024630,1767971339024720,,,
15,1767971339030222,1767971339030222,1767971339030223,1767971339030324,,,
16,1767971339035534,1767971339035534,1767971339035534,1767971339035633,,,
17,1767971339041502,1767971339041502,1767971339041503,1767971339041591,,,
18,1767971339047121,1767971339047122,1767971339047122,1767971339047191,,,
19,1767971339053240,1767971339053241,1767971339053242,1767971339053300,,,
20,1767971339058471,1767971339058472,1767971339058472,1767971339058533,,,
21,1767971339064596,1767971339064596,1767971339064597,1767971339064699,,,
22,1767971339070518,1767971339070518,1767971339070519,1767971339070622,,,
23,1767971339076527,1767971339076528,1767971339076528,1767971339076652,,,
24,1767971339081968,1767971339081975,1767971339081976,1767971339082085,,,
25,1767971339087431,1767971339087431,1767971339087432,1767971339087533,,,
26,1767971339093402,1767971339093402,1767971339093403,1767971339093470,,,
27,1767971339099300,1767971339099300,1767971339099300,1767971339099405,,,
28,1767971339104674,1767971339104675,1767971339104675,1767971339104809,,,
29,1767971339110241,1767971339110242,1767971339110242,1767971339110346,,,
30,1767971339116272,1767971339116273,1767971339116273,1767971339116378,,,
