seq,t1_us,enqueue_us,tx_start_us,tx_end_us,srv_recv_us,ack_recv_us,rtt_us
1,1767971804889811,1767971804889812,1767971804889812,1767971804889964,,,
2,1767971804900687,1767971804900688,1767971804900688,1767971804900786,,,
3,1767971804911383,1767971804911384,1767971804911384,1767971804911455,,,
4,1767971804921658,1767971804921658,1767971804921659,1767971804921733,,,
5,1767971804931910,1767971804931911,1767971804931911,1767971804932031,,,
6,1767971804942338,1767971804942338,1767971804942339,1767971804942434,,,
7,1767971804953460,1767971804953460,1767971804953460,1767971804953530,,,
8,1767971804964909,1767971804964909,1767971804964910,1767971804965023,,,
9,1767971804975452,1767971804975453,1767971804975453,1767971804975573,,,
10,1767971804986686,1767971804986686,1767971804986687,1767971804986773,,,
11,1767971804997681,1767971804997681,1767971804997681,1767971804997792,,,
12,1767971805008611,1767971805008612,1767971805008613,1767971805008720,,,
13,1767971805019557,1767971805019558,1767971805019558,1767971805019642,,,
14,1767971805030236,1767971805030236,1767971805030236,1767971805030344,,,
15,1767971805040551,1767971805040551,1767971805040551,1767971805040639,,,
16,1767971805050958,1767971805050959,1767971805050959,1767971805051068,,,
17,1767971805061341,1767971805061341,1767971805061342,1767971805061419,,,
18,1767971805071778,1767971805071778,1767971805071778,1767971805071857,,,
19,1767971805082325,1767971805082326,1767971805082326,1767971805082412,,,
20,1767971805093195,1767971805093197,1767971805093197,1767971805093366,,,
21,1767971805104711,1767971805104712,1767971805104712,1767971805104866,,,
22,1767971805104961,1767971805104962,1767971805104962,1767971805105004,,,
23,1767971805105055,1767971805105055,1767971805105055,1767971805105091,,,
24,1767971805105134,1767971805105135,1767971805105135,1767971805105170,,,
25,1767971805105217,1767971805105217,1767971805105218,1767971805105252,,,
26,1767971805105293,1767971805105294,1767971805105295,1767971805105328,,,
27,1767971805105369,1767971805105369,1767971805105370,1767971805105406,,,
28,1767971805105447,1767971805105447,1767971805105448,1767971805105481,,,
29,1767971805105522,1767971805105522,1767971805105523,1767971805105556,,,
30,1767971805105599,1767971805105599,1767971805105600,1767971805105633,,,
31,1767971805105977,1767971805105978,1767971805105979,1767971805106080,,,
32,1767971805116968,1767971805116968,1767971805116968,1767971805117053,,,
33,1767971805128017,1767971805128018,1767971805128018,1767971805128119,,,
34,1767971805138424,1767971805138424,1767971805138425,1767971805138540,,,
35,1767971805149436,1767971805149437,1767971805149437,1767971805149538,,,
36,1767971805160488,1767971805160488,1767971805160488,1767971805160591,,,
37,1767971805171360,1767971805171361,1767971805171361,1767971805171457,,,
38,1767971805181809,1767971805181809,1767971805181810,1767971805181918,,,
39,1767971805192385,1767971805192385,1767971805192385,1767971805192477,,,
40,1767971805202904,1767971805202904,1767971805202905,1767971805202975,,,
41,1767971805213595,1767971805213595,1767971805213595,1767971805213674,,,
42,1767971805224002,1767971805224003,1767971805224003,1767971805224088,,,
43,1767971805234604,1767971805234604,1767971805234604,1767971805234691,,,
44,1767971805245267,1767971805245268,1767971805245268,1767971805245346,,,
45,1767971805255729,1767971805255729,1767971805255730,1767971805255826,,,
46,1767971805266157,1767971805266158,1767971805266158,1767971805266240,,,
47,1767971805276974,1767971805276974,1767971805276975,1767971805277045,,,
48,1767971805287789,1767971805287790,1767971805287790,1767971805287882,,,
49,1767971805298052,1767971805298053,1767971805298053,1767971805298138,,,
50,1767971805308918,1767971805308919,1767971805308920,1767971805309045,,,
