task,scheduled_us,start_us,latency_us,exec_us
Switch,1767954716212042,1767954716212052,10,5002
Switch,1767954717212042,1767954717264842,52800,5002
Switch,1767954718212042,1767954718302940,90898,5005
Switch,1767954719212042,1767954719350538,138496,5003
Switch,1767954720212042,1767954720400092,188050,5003
Switch,1767954721212042,1767954721448940,236898,5003
Switch,1767954722212042,1767954722485652,273610,5002
Switch,1767954723212042,1767954723531926,319884,5001
Switch,1767954724212042,1767954724580357,368315,5001
Switch,1767954725212042,1767954725628295,416253,5002
Switch,1767954726212042,1767954726675165,463123,5002
Switch,1767954727212042,1767954727720263,508221,5003
Switch,1767954728212042,1767954728767217,555175,5003
Switch,1767954729212042,1767954729816372,604330,5004
Switch,1767954730212042,1767954730866546,654504,5003
Switch,1767954731212042,1767954731944911,732869,5002
Switch,1767954732212042,1767954732984370,772328,5003
Switch,1767954733212042,1767954734034304,822262,5002
Switch,1767954734212042,1767954735080781,868739,5001
Switch,1767954735212042,1767954736126766,914724,5002
Switch,1767954736212042,1767954737231402,1019360,40001
Switch,1767954737212042,1767954738389988,1177946,40003
Switch,1767954738212042,1767954739550857,1338815,40003
Switch,1767954739212042,1767954740712938,1500896,40001
Switch,1767954740212042,1767954741869487,1657445,40002
Switch,1767954741212042,1767954743031178,1819136,40004
Switch,1767954742212042,1767954744195061,1983019,40005
Switch,1767954743212042,1767954745357864,2145822,40003
Switch,1767954744212042,1767954746504776,2292734,5003
Switch,1767954745212042,1767954747555310,2343268,5002
Switch,1767954746212042,1767954748605994,2393952,5002
Switch,1767954747212042,1767954749655232,2443190,5003
Switch,1767954748212042,1767954750701036,2488994,5003
Switch,1767954749212042,1767954751748541,2536499,5003
Switch,1767954750212042,1767954752795232,2583190,5003
Switch,1767954751212042,1767954753846208,2634166,5003
Switch,1767954752212042,1767954754893627,2681585,5003
Switch,1767954753212042,1767954755942437,2730395,5002
Switch,1767954754212042,1767954756992520,2780478,5003
Switch,1767954755212042,1767954758042554,2830512,5001
Switch,1767954756212042,1767954759093950,2881908,5003
Switch,1767954757212042,1767954760146755,2934713,5001
Switch,1767954758212042,1767954761198770,2986728,5001
Switch,1767954759212042,1767954762251771,3039729,5004
Switch,1767954760212042,1767954763301842,3089800,5004
Switch,1767954761212042,1767954764350522,3138480,5004
Switch,1767954762212042,1767954765398641,3186599,5003
Switch,1767954763212042,1767954766444461,3232419,5002
Switch,1767954764212042,1767954767491688,3279646,5001
Switch,1767954765212042,1767954768542751,3330709,5001
Switch,1767954766212042,1767954769595824,3383782,5003
