task,scheduled_us,start_us,latency_us,exec_us,deadline_ms,result
SwitchTask,1768310247552583,1768310247552597,14,6002,500,HIT
SwitchTask,1768310248052583,1768310248053246,663,6003,500,HIT
SwitchTask,1768310248552583,1768310248559364,6781,6002,500,HIT
SwitchTask,1768310249052583,1768310249061361,8778,6005,500,HIT
SwitchTask,1768310249552583,1768310249558748,6165,6003,500,HIT
SwitchTask,1768310250052583,1768310250060818,8235,6000,500,HIT
SwitchTask,1768310250552583,1768310250553724,1141,6004,500,HIT
SwitchTask,1768310251052583,1768310251059959,7376,6003,500,HIT
SwitchTask,1768310251552583,1768310251556725,4142,6005,500,HIT
SwitchTask,1768310252052583,1768310252060063,7480,6000,500,HIT
SwitchTask,1768310252552583,1768310252556959,4376,6001,500,HIT
SwitchTask,1768310253052583,1768310253061435,8852,6004,500,HIT
SwitchTask,1768310253552583,1768310253556153,3570,6003,500,HIT
SwitchTask,1768310254052583,1768310254061781,9198,6002,500,HIT
SwitchTask,1768310254552583,1768310254554788,2205,6004,500,HIT
SwitchTask,1768310255052583,1768310255059517,6934,6005,500,HIT
SwitchTask,1768310255552583,1768310255557443,4860,6003,500,HIT
SwitchTask,1768310256052583,1768310256061383,8800,6000,500,HIT
SwitchTask,1768310256552583,1768310256554231,1648,6002,500,HIT
SwitchTask,1768310257052583,1768310257061708,9125,6001,500,HIT
SwitchTask,1768310257552583,1768310257560764,8181,6004,500,HIT
SwitchTask,1768310258052583,1768310258056313,3730,6002,500,HIT
SwitchTask,1768310258552583,1768310258558950,6367,6002,500,HIT
SwitchTask,1768310259052583,1768310259053677,1094,6002,500,HIT
SwitchTask,1768310259552583,1768310259558825,6242,6006,500,HIT
SwitchTask,1768310260052583,1768310260054520,1937,6003,500,HIT
SwitchTask,1768310260552583,1768310260553381,798,6003,500,HIT
SwitchTask,1768310261052583,1768310261055563,2980,6004,500,HIT
SwitchTask,1768310261552583,1768310261559547,6964,6004,500,HIT
SwitchTask,1768310262052583,1768310262055641,3058,6004,500,HIT
SwitchTask,1768310262552583,1768310262562124,9541,6004,500,HIT
SwitchTask,1768310263052583,1768310263056199,3616,6003,500,HIT
SwitchTask,1768310263552583,1768310263554618,2035,6005,500,HIT
SwitchTask,1768310264052583,1768310264056440,3857,6005,500,HIT
